course;courseName;Time;date;ExamType;Duration;department;specialization
رياض101;الرياضيات;08:00 - 10:00;17/05/26;معمل;120;الدراسات العامة;جميع التخصصات
عربي101;الكتابة الفنية;10:30 - 12:30;17/05/26;معمل;120;الدراسات العامة;جميع التخصصات
رياد101;أساسيات ريادة الأعمال;08:00 - 10:00;18/05/26;معمل;120;الدراسات العامة;جميع التخصصات
داعم151;نظم التشغيل -1;08:00 - 10:00;19/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا111;مبادئ شبكات الحاسب;10:30 - 12:30;19/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
انجل101;لغة إنجليزية -1;10:30 - 12:30;18/05/26;معمل;120;الدراسات العامة;تقنية شبكات الحاسب
اسلك201;السلوك الوظيفي والمستقبل المهن;13:00 - 15:00;18/05/26;معمل;120;الدراسات العامة;جميع التخصصات
حاسب121;تجميع الحاسب وتشغيله;13:00 - 15:00;19/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
فيزي101;الفيزياء;08:00 - 10:00;20/05/26;معمل;120;الدراسات العامة;تقنية شبكات الحاسب
رياد212;ريادة اعمال الحاسب وتقنية المع;08:00 - 10:00;21/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
انجل102;لغة إنجليزية (2);10:30 - 12:30;20/05/26;معمل;120;الدراسات العامة;تقنية شبكات الحاسب
شبكا121;التوجيه والتحويل -1;10:30 - 12:30;21/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا295;مشروع;13:00 - 15:00;21/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا232;أمن الشبكات المتقدم;08:00 - 10:00;24/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
احصا101;مقدمة في الإحصاء;13:00 - 15:00;20/05/26;معمل;120;الدراسات العامة;تقنية الموارد البشرية
شبكا241;ربط الشبكات;10:30 - 12:30;24/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري111;تحليل وتقييم الوظائف;08:00 - 10:00;25/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
حاسب280;التأهيل للشهادات الاحترافية;08:00 - 10:00;26/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري230;إدارة الأداء;10:30 - 12:30;25/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
داعم252;نظم التشغيل -2;10:30 - 12:30;26/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا285;موضوعات مختارة;08:00 - 10:00;27/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
اسلم101;الدراسات الإسلامية;08:00 - 10:00;28/05/26;معمل;120;الدراسات العامة;جميع التخصصات
بشري101;مبادئ ادارة الموارد البشرية;10:30 - 12:30;27/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
انجل204;لغة إنجليزية (4 );10:30 - 12:30;28/05/26;معمل;120;الدراسات العامة;تقنية شبكات الحاسب
رياد262;ريادة الاعمال في مجال الإدارة;13:00 - 15:00;27/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
محسب101;مبادئ المحاسبة;13:00 - 15:00;24/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
بشري112;تخطيط الموارد البشرية;13:00 - 15:00;17/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
شبكا222;التوجية والتحويل (2);13:00 - 15:00;25/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا231;مقدمة في أمن الشبكات;08:00 - 10:00;25/05/26;معمل;120;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري222;تدريب وتنمية الموارد البشرية;13:00 - 15:00;26/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
انجل113;لغة إنجليزية (3);13:00 - 15:00;28/05/26;معمل;120;الدراسات العامة;تقنية الموارد البشرية
انجل112;لغة إنجليزية (2);10:30 - 12:30;28/05/26;معمل;120;الدراسات العامة;تقنية الموارد البشرية
بشري221;الاستقطاب والاختيار;08:00 - 10:00;26/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
بشري223;إدارة نظم الأجور والتعويضات;08:00 - 10:00;27/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
بشري232;إدارة الخدمة المدنية;08:00 - 10:00;24/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
انجل103;لغة إنجليزية (3);13:00 - 15:00;17/05/26;معمل;120;الدراسات العامة;تقنية شبكات الحاسب
انجل111;لغة إنجليزية (1);08:00 - 10:00;28/05/26;معمل;120;الدراسات العامة;تقنية الموارد البشرية
ادار101;مبادئ إدارة الأعمال;13:00 - 15:00;25/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
بشري252;موضوعات مختارة في ادارة الموار;13:00 - 15:00;21/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
بشري241;مصطلحات انجليزية في إدارة المو;10:30 - 12:30;24/05/26;معمل;120;تقنية الاعمال;تقنية الموارد البشرية
